epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.6074,1.33846,0.66667,1,0.82359,0.0002375,0.0002375,0.0002375
2,90.3053,0.70359,0.90123,1,0.26855,0.000477848,0.000477848,0.000477848
3,133.968,0.54535,0.51852,1,1.88944,0.000708295,0.000708295,0.000708295
4,177.637,0.61776,0.8642,1,0.37512,0.000928842,0.000928842,0.000928842
5,220.906,0.46236,0.87037,1,0.32271,0.00113949,0.00113949,0.00113949
6,265.775,0.42253,0.60494,1,2.10028,0.00112625,0.00112625,0.00112625
7,312.803,0.51138,0.87037,1,0.37171,0.0011015,0.0011015,0.0011015
8,360.061,0.37402,0.75926,1,0.78701,0.00107675,0.00107675,0.00107675
9,416.201,0.42737,0.74074,1,0.74171,0.001052,0.001052,0.001052
10,478.895,0.37968,0.87654,1,0.33054,0.00102725,0.00102725,0.00102725
11,531.94,0.33254,0.7716,1,0.54527,0.0010025,0.0010025,0.0010025
12,594.214,0.38726,0.64815,1,1.25637,0.00097775,0.00097775,0.00097775
13,655.381,0.27614,0.91975,1,0.19843,0.000953,0.000953,0.000953
14,716.075,0.33699,0.87037,1,0.36238,0.00092825,0.00092825,0.00092825
15,776.536,0.29379,0.88272,1,0.34409,0.0009035,0.0009035,0.0009035
16,824.816,0.41535,0.7037,1,1.03712,0.00087875,0.00087875,0.00087875
17,882.108,0.32348,0.79012,1,0.65601,0.000854,0.000854,0.000854
18,944.559,0.3214,0.89506,1,0.22388,0.00082925,0.00082925,0.00082925
19,1006.06,0.30851,0.88889,1,0.32173,0.0008045,0.0008045,0.0008045
20,1067.65,0.32369,0.90123,1,0.36375,0.00077975,0.00077975,0.00077975
21,1125.34,0.26359,0.81481,1,0.46928,0.000755,0.000755,0.000755
22,1170.39,0.23794,0.88272,1,0.29814,0.00073025,0.00073025,0.00073025
23,1215.93,0.21029,0.89506,1,0.46244,0.0007055,0.0007055,0.0007055
24,1262.17,0.28797,0.88272,1,0.33425,0.00068075,0.00068075,0.00068075
25,1311.33,0.22253,0.87654,1,0.51232,0.000656,0.000656,0.000656
26,1373.59,0.20381,0.90123,1,0.30659,0.00063125,0.00063125,0.00063125
27,1436.27,0.22217,0.7963,1,0.80243,0.0006065,0.0006065,0.0006065
28,1498.26,0.19996,0.84568,1,0.4982,0.00058175,0.00058175,0.00058175
29,1560.26,0.18413,0.83333,1,0.4061,0.000557,0.000557,0.000557
30,1621.96,0.19856,0.91358,1,0.30821,0.00053225,0.00053225,0.00053225
31,1683.13,0.15851,0.91975,1,0.35714,0.0005075,0.0005075,0.0005075
32,1743.99,0.18953,0.89506,1,0.279,0.00048275,0.00048275,0.00048275
33,1805.09,0.18793,0.91358,1,0.31185,0.000458,0.000458,0.000458
34,1866.18,0.1944,0.83951,1,0.53104,0.00043325,0.00043325,0.00043325
35,1917.24,0.23073,0.90741,1,0.32467,0.0004085,0.0004085,0.0004085
36,1978.26,0.14966,0.8642,1,0.52163,0.00038375,0.00038375,0.00038375
37,2035.37,0.15676,0.89506,1,0.42583,0.000359,0.000359,0.000359
38,2089.68,0.16734,0.88889,1,0.30232,0.00033425,0.00033425,0.00033425
39,2132.16,0.16296,0.8642,1,0.35362,0.0003095,0.0003095,0.0003095
40,2173.16,0.16641,0.88272,1,0.28562,0.00028475,0.00028475,0.00028475
41,2214.33,0.15834,0.92593,1,0.2564,0.00026,0.00026,0.00026
42,2273.12,0.14803,0.88889,1,0.28581,0.00023525,0.00023525,0.00023525
43,2334.36,0.12998,0.91975,1,0.25638,0.0002105,0.0002105,0.0002105
44,2398.35,0.13318,0.85802,1,0.29802,0.00018575,0.00018575,0.00018575
45,2460.98,0.10938,0.90123,1,0.27753,0.000161,0.000161,0.000161
46,2523.62,0.12591,0.91358,1,0.25,0.00013625,0.00013625,0.00013625
47,2588.59,0.12039,0.92593,1,0.28731,0.0001115,0.0001115,0.0001115
48,2653.14,0.12071,0.90123,1,0.27242,8.675e-05,8.675e-05,8.675e-05
49,2715.87,0.09644,0.91358,1,0.24001,6.2e-05,6.2e-05,6.2e-05
50,2780.92,0.11195,0.91358,1,0.27595,3.725e-05,3.725e-05,3.725e-05
